id,nameeng,nameamh,position,placeofassignment,detail,,
1534,Aberash Tariku Abay,ወ/ት አበራሽ ታሪኩ,ምክትል ዋና ዳይሬክተር ,ማዕከላዊ ስታስቲክስ ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1535,AHMED ABITEW ASFAW,አቶ አህመድ አብተው,ዋና ዳይሬክተር ,ፖሊሲ ጥናት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1536,TEFERI TIYARA REBU,አቶ ተፈሪ ጢያሮ ,ምክትል ዋና ዳይሬክተር ,ፖሊሲ ጥናት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1537,Dr. Yohannes Ayalew,ዶ/ር ዮሐንስ አያሌው ,ምክትል ዋና ዳይሬክተር ,ፖሊሲ ጥናት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1538,G/Egziabher Araya,አቶ ገ/እግዚአብሔር አርአያ ,በሚ/ዴኤታ ማዕረግ በሕዝብ ተወካዬች ምክር ቤት የመንግስት  ረዳት ተጠሪ,ተወካዮች ምክር ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1539,Ambassador Mesfin Cherinet,አምባሳደር መስፍን ቸርነት ,በሚ/ዴኤታ ማዕረግ በሕዝብ ተወካዮች ምክር ቤት የመንግስት  ረዳት ተጠሪ,የሕዝብ ተወካዮች ምክር ቤት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1540,Getachew Dinku,አቶ ጌታቸው ድንቁ,ዋና ዳይሬክተር ,ብሮድካስት ባለሥልጣን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1541,Ayeligne Mulualem Tafie,አቶ አየልኝ ሙሉዓለም ,ኮምሽነር ,ፌደራል የሥነምግባር እና የፀረ-ሙስና ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1542,Wodo Ato Wato,አቶ ወዶ አጦ,ምክትል ኮምሽነር ,ፌደራል የሥነምግባር እና የፀረ-ሙስና ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1543,Atakilti Gidey,አትክልቲ ግደይ ,ምክትል ኮምሽነር ,ፌደራል የሥነምግባር እና የፀረ-ሙስና ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1544,Getinet Tadesse,አቶ  ጌትነት ታደሰ,ዋና ሥራ አስኪያጅ ,የኢትዮጵያ ፕሬስ ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1545,Dr. Nigussie Mitiku,ክቡር ዶ/ር ንጉሴ ምትኩ,የኮፕሬሽኑ ዋና ሥራ አስፈፃሚ,የኢትዮጵያ ብሮድካስት ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1546,Eliyas Awato,አቶ  ኤልያስ አዋቶ,ምክትል ዋና ሥራ አስፈፃሚ,የኢትዮጵያ ብሮድካስት ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1547,Dr. Abiy Ahmed Ali,ክቡር ዶ/ር አብይ አህመድ ,ጠቅላይ ሚኒስትር ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1548,Demeke Mekonnen,ክቡር አቶ ደመቀ መኮንን ,ምክትል ጠቅላይ ሚኒስትር ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1549,Demitu Hambisa,ክብርት ወ/ሮ ደሚቱ ሐምቢሳ ,የጠቅላይ ሚኒስትር ጽ/ቤት ኃላፊና የካቢኔ ጉዳዮች ሚኒስትር ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1550,Esayas Kassa,ክቡር አቶ ኢሳያስ ካሳ,የካቢኔ ጉዳዮች ሚኒስትር ዴኤታ ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1551,Nigussu Tilahun,ክቡር  አቶ ንጉሱ ጥላሁን ,ፕሬስ ስክሬታሪ ኃላፊ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1552,Mamo Esmelealem Mihretu,ክቡር አቶ ማሞ እስመላዕለም ምህረቱ ,በሚኒስትር ዴኤታ ማዕረግ የጠቅላይ ሚኒስትሩ የፖሊሲ ሪፎርም ከፍተኛ አማካሪ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1553,Dr. Arkebe Ekubay,ክቡር ዶ/ር አርከበ ዕቁባይ,በሚኒስትር  ማዕረግ የኢኮኖሚ ዕቅድ ውጤታማነት ክትትልና ድጋፍ ዘርፍ ኃላፊ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1554,Hayilay Birhane Tessema,ክቡር አቶ ኃይላይ ብርሃኔ ተሰማ ,የጠቅላይ ሚኒስትሩ የብሔራዊ  ደህንነት ጉዳዮች አማካሪ ሚኒስትር  ዴኤታ ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1555,Fisha Yitagessu,ክቡር አቶ ፍስሃ ይታገሱ ,በሚኒስትር ዴኤታ  ማዕረግ የወቅታዊ ጉዳዮች ጥናትና ትንተና አስተባባሪ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1556,Getachew Ambaye,ክቡር አቶ ጌታቸው አምባዬ,በሚኒስትር ዴኤታ  ማዕረግ የወቅታዊ ጉዳዮች ጥናትና ትንተና አስተባባሪ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1557,Teklewold Atnafu,ክቡር አቶ ተክለወልድ አጥናፉ ,የጠቅላይ ሚኒስትርሩ የፋይናንስ  አማካሪ ሚኒስትር ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1558,Teyiba Hassen,ክብርት ወ/ሮ ጠይባ ሀሰን ,በሚኒስትር ማዕረግ የጠቅላይ ሚኒስትሩ የማህበራዊ ዘርፍ አማካሪ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1559,Dessie Dalkie,ክቡር  አቶ ደሴ ዳልኬ,በሚኒስትሩ ማዕረግ የጠቅላይ ሚኒስትሩ  የግብርናና የመስኖ አማካሪ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1560,Dr. Shumetie Gizaw,ክቡር ዶ/ር ሹመቴ ግዛው ,በሚኒስትር ማዕረግ የጠቅላይ ሚኒስትር  ልዩ ፅ/ቤት ኃላፊ ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1561,Motuma Meqasa,ክቡር አቶ ሞቱማ መቃሳ ,የጠቅላይ ሚንስትሩ የብሔራዊ ደህንነት ጉዳች አማካሪ ሚኒስትር ዴኤታ ,ጠቅላይ ሚኒስትር ፅ/ቤት,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1562,Meles Alemu,አቶ መለስ ዓለሙ ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥርዓት ግንባታ ማስተባበሪያ  ማዕከል ም/ዋና አስተባባሪ ,የቅላይ ሚኒስትር ፅ/ቤት (ኢህአዴግ ቢሮ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1563,Asmelash W/Silassie Zegeye,አቶ አስመላሽ ወልደሥላሴ ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥርዓት ግንባታ ማስተባበሪያ  ማዕከል የዘርፍ  አስተባባሪ ,የቅላይ ሚኒስትር ፅ/ቤት (ኢህአዴግ ቢሮ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1564,Fekadu Tessema,አቶ ፈቃዱ ተሰማ ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥርዓት ግንባታ ማስተባበሪያ  ማዕከል  አስተባባሪ ,የቅላይ ሚኒስትር ፅ/ቤት (ኢህአዴግ ቢሮ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1565,Tefera Deribew,አቶ ተፈራ ደርበው ,በሚኒስትር ማዕረግ የዴሞክራሲ ሥርዓት ግንባታ ማስተባበሪያ  ማዕከል የገጠር ዘርፍ አስተባባሪ ,የቅላይ ሚኒስትር ፅ/ቤት (ኢህአዴግ ቢሮ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1566,Abebe Abebayehu,ክቡር አቶ አበበ አበባየሁ ኢንቨስትመንት ኮሚሽን ,ኮሚሽነር ,ኢንቨስትመንት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1567,Hana Araya Silassie,ወ/ሮ ሃና አርአያ ሥላሴ ,ምክትል ኮሚሽነር,ኢንቨስትመንት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1568,Temesgen Tilahun,አቶ  ተመስገን ጥላሁን ,ምክትል ኮሚሽነር,ኢንቨስትመንት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1569,Anteneh Alemu,ክቡር አቶ አንተነህ አለሙ ,ምክትል ኮሚሽነር,ኢንቨስትመንት ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1570,Lelise Nemie,ወ/ት ሌሊሴ ነሜ,ዋና ሥራ አስፈፃሚ,ኢንዱስትሪ ፓሪኮች ልማት ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1571,Shiferaw Solomon,አቶ ሽ ፈራው ሰለሞን ,የኦፕሬሽንና ኢንዱስትሪ ፓርኮች ምክትል ሥራ  አስፈጻሚ ,የኢንዱስትሪ ፖርኮች  ልማት ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1572,AMARE ASGEDOM,አቶ አማረ አስገዶም ,የልማት ዘርፍ ምክትል ሥራ አስፈፃሚ,የኢንዱስትሪ ፖርኮች  ልማት ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1573,BIRHANU FEYISSA,አቶ ብርሃኑ ፈይሳ,ምክትል ኮሚሽነር ,ሲቪል ሰርቪስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1574,Bezabih Gebreyes,ክቡር አቶ በዛብህ ገብረየስ,ኮሚሽነር ,ሲቪል ሰርቪስ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1575,Ambassador Dr. Adisalem Balema,አምባሳደር ዶ/ር አዲስአለም ባሌማ ,ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1576,Tsegaye Mamo,አቶ ፀጋዬ ማሞ,የአካዳሚክ ዘርፍ ም/ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1577,Desmissie Shito,አቶ ደምስ ሽቶ,ምርምርና ጥናት ዘርፍ ም/ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1578,Atsibha Aregawi,አቶ አጽብሐ አረጋዊ,ዕቅድና አስተዳደራዊ ልማት ዘርፍ ም/ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1579,Seyum Mekonnen,አቶ ስዩም መኮንን ,የመለስ ዘመናዊ  አመራር አካዳሚ የስልጠና ዘርፍም /ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1580,MEKONNEN YAI,አቶ መኮንን ያኢ ,ዋና ዳይሬክተር ,ካይዘን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1581,G/Meskel Chala,አቶ ገብረመስቀል ጫላ,ምክትል ዋና ዳይሬክተር ,ካይዘን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1582,Daba Arya Gelan,አቶ ዳባ ኦሪያ ,ዋና ዳይሬክተር ,መንግስት ሠራተኞች ማህበራዊ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1583,Tilahun Bekele,አቶ ጥላሁን በቀለ ,ም/ዋና ዳይሬክተር ,መንግስት ሠራተኞች ማህበራዊ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1584,Professor Fekadu Beyene,ፕሮፌሰር ፈቃዱ በየነ ,ኮሚሽነር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1585,Firenesh Mekuriya Gobena,ወ/ሮ ፍሬነሽ መኩሪያ ,ምክትል ኮሚሽነር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1586,Kebede Yimam,አቶ ከበደ ይማም ,ምክትል ኮሚሽነር,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1587,Werdi Hashim,አቶ ወርዲ ሃሽም ,የሀገዋና ዳይሬክተር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1588,Nigussu Lemma,አቶ ንጉሱ ለማ ,የአየር ንብረት ዋና ዳይሬክተር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን    ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1589,Dr. Melesse Mariyo,ዶ/ር መለስ ማርዮ,ዋና ዳይሬክተር ,ብዘሐ ሕይወት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1590,Dr. Feleke Weldeyes,ዶ/ር ፈለቀ ወልደየስ ,ምክትል ዋና ዳይሬክተር ,ብዘሐ ሕይወት ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1591,Dr. Abyiot Birhanu,ዶ/ር አብዮት ብርሃኑ ,ዋና ዳይሬክተር ,አካባቢና ደን ምርምር ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1592,Dr. Agiena Anjelo,ዶ/ር አጌና አንጀሎ ,ምክትል ዋና ዳይሬክተር ,አካባቢና ደን ምርምር ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1593,Kumer Waqjira,አቶ  ኩመራ ዋቅጅራ ,ዋና ዳይሬክተር ,ዱር እንስሳ ልማት ጥበቃ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1594,Solomon Mekonnen BULA,አቶ ሰለሞን መኮንን ,ምክትል ዋና ዳይሬክተር ,ዱር እንስሳ ልማት ጥበቃ ባለሥልጣን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1595,Dr. Efriem Teklie,ዶ/ር ኤፍሬም ተክሌ,ኮሚሽነር ,ሥራ ዕድል ፈጠራ ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1596,Dr. Yinager Dessie,ክቡር ዶ/ር ይናገር ደሴ ,ገዥ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1597,Yemane Yossef Tesfaye,አቶ የማነ ዮሴፍ ተስፋዬ,ምክትል ገዥ ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1598,Tiruneh Mitaf,ክቡር ጥሩነህ ምጣፍ ,ምክትል ገዥ ,ብሔራዊ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1599,Sileshi Girma,አቶ ስለሺ ግርማ ,ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1600,Sertse Firesibhat,አቶ ሰርፀ ፍሬስብሃት ,ምክትል  ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1601,Dr. Hagos Abrha,ዶ/ር ሐጎስ አብርሃ ,ምክትል ዋና ዳይሬክተር ,ቱሪዝም ኢትዮጵያ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1602,Tefera Fikrie,አቶ ተፈራ ፍቅሬ,ዋና ዳይሬክተር ,ቤተመንግስት አስተዳደር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1603,Lensa Mekonnen,ወ/ት ሌንሳ መኮንን ,ዋና ዳይሬክተር ,የመሬት ባንክና ልማት ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1604,Tesfaye Worede,አቶ ተስፋዬ ወረደ ,የፅ/ቤቱ ኃላፊ ዋና ዳይሬክተር ,እርቀ ሰላም ኮሚሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1605,Tewolde G/Mariyam,ተወልደ ገ/ማሪያም ,ዋና ሥራ አስፈጻሚ,የኢትዮጵያ አየር መንገድ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1606,Firehiwot Tamiru,ፍሬሕይወት ታምሩ,ዋና ሥራ አስፈጻሚ,ኢትዮ ቴሌኮም ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1607,Bacha Gina,አቶ ባጫ ጊና ,ኃላፊ,ንግድ ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1608,Haileyesus Bekele,አቶ ኃይለየሱስ  በቀለ,ኃላፊ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1609,TESHOME ALEMAYEHU,አቶ ተሾመ አለማየሁ ,ምክትል,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1610,Ahadu G/Egziabher,አቶ አሀዱ ገ/እግዚአብሔር ,ምክትል ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1611,Getachew Waqie,አቶ   ጌታቸው ዋቄ ,ምክትል,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1612,Tsige Genet,አቶ ጽጌ ገነት,ምክትል ,ልማት ባንክ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1613,B/General Ahmed Hamza,ብ/ጀኔራል አህመድ ሀምዛ ,ዋና ዳይሬክተር,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1614,Awol Abdi,አቶ አወል አብዲ,ምክትል ዋና ዳይሬክተር ,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1615,Dr.Alemu Sime,ዶ/ር አለሙ ስሜ ,ምክትል ዋና ዳይሬክተር ,ብረታ ብረት ኢንጂነሪንግ ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1616,Beyene G/Mesqel Mada,አቶ በየነ ገብረመስቀል,ዋና ዳይሬክተር,መንግሥት የልማት ድርጅቶች ይዞታና አስተዳደር ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1617,Habtamu H/Michael,አቶ ሀብታሙ ኃ/ሚካኤል ,ም/ዋና ዳይሬክተር ,መንግሥት የልማት ድርጅቶች ይዞታና አስተዳደር ኤጀንሲ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1618,Kefyalew Birhanu,አቶ ከፍያለው ብርሃኑ,ዋና  ሥራ አስፈጻሚ ,ኢትዮጵያ ግብርና ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1619,Mulugeta Seid,አቶ ሙሉጌታ ሰይድ ,ዋና  ሥራ አስፈጻሚ ,የኢትዮጵያ  ማዕድን ነዳጅና ባዮ ፊውል ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1620,Woyo Roba,አቶ ወዩ ሮባ ,ዋና  ሥራ አስፈጻሚ ,የኢትዮጵያ ስኳር ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1621,Roba Megersa,አቶ ሮባ መገርሳ ,ዋና ዳይሬክተር,ባህር ትራንስፖርትና ሎጀስቲክ አገልግሎት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1622,Tebabal Wudneh Gelaye,አቶ ተባባል ውድነህ ገላዬ,ሥራ አስኪያጅ ,ኬሚካል ኢንዱስትሪ ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1623,H/Meskel Tefera,አቶ ኃ/መስቀል ተፈራ ,ከሹመት  የተነሳ ,የኢትዮጵያ የኮንስትራክሽን ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1624,Dr. Enginner Negede Abate,ዶ/ር  ኢ/ር ነገደ አባተ,ሥራ አስኪያጅ ,የኢትዮጵያ የኮንስትራክሽን ዲዛይንና ሱፐርቪዥን ሥራዎች ኮርፖሬሽን,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1625,Tariku Berasu,አቶ ታሪኩ በራሱ,ሥራ አስኪያጅ ,የኢትዮጵያ ንግድ ሥራዎች ኮርፖሬሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1626,Gidey G/Yohannes,አቶ ግደይ ገ/ዮሐንስ ,ሥራ አስኪያጅ ,የኢትዮጵያ ፖስታ አገልግሎት ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1627,Hailemariyam Gidey,አቶ ኃይለማርያም ግደይ,ሥራ አስኪያጅ ,ብሔራዊ አልኮልና አረቄ ፋብሪካ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1628,Shitahun Wale,አቶ ሽታሁን ዋለ (ተወካይ),ሥራ አስኪያጅ ,ብርሃንና ሰላም ማተሚያ ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1629,G/Tsadkqan Abay,አቶ ገ/ፃድቃን አባይ,ሥራ አስኪያጅ ,የግዮን ሆቴሎች ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1630,Abrham Teshome,አቶ አብርሃም ተሾመ,ሥራ አስኪያጅ ,የኢትዮጵያ ፐልፕና ወረቀት አክስዬን ማህበር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1631,Assefa Guya,አቶ አሰፋ ጉያ ,ሥራ አስኪያጅ ,የኢትዮጵያ ቱሪስት ንግድ ሥራ ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1632,Mulugeta Mengiste,አቶ ሙሉጌታ መንግስቴ,ሥራ አስኪያጅ ,ሸበሌ ትራንስፖርት አክስዬን ማህበር ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1633,Mulugeta Eshetu,አቶ ሙሉጌታ እሽቱ ,ሥራ አስኪያጅ ,የሆቴሎች ልማት አክስዬን ማህበር (አድስ አበባ ሒልተን ),FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1634,Netsanet Lemmesa,አቶ ነፃነት  ለሜሳ,ሥራ አስኪያጅ ,የኢትዮጵያ መድን ድርጅት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1635,Desmissie Shito,አቶ ደምስ ሽቶ,ምርምርና ጥናት ዘርፍ ም/ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1636,Atsibha Aregawi,አቶ አጽብሐ አረጋዊ,ዕቅድና አስተዳደራዊ ልማት ዘርፍ ም/ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1637,Seyum Mekonnen,አቶ ስዩም መኮንን ,የመለስ ዘመናዊ  አመራር አካዳሚ የስልጠና ዘርፍም /ፕሬዝዳንት ,መለስ ዜናዊ አመራር አካዳሚ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1638,MEKONNEN YAI,አቶ መኮንን ያኢ ,ዋና ዳይሬክተር ,ካይዘን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1639,G/Meskel Chala,አቶ ገብረመስቀል ጫላ,ምክትል ዋና ዳይሬክተር ,ካይዘን ኢንስቲትዩት ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1640,Daba Arya Gelan,አቶ ዳባ ኦሪያ ,ዋና ዳይሬክተር ,መንግስት ሠራተኞች ማህበራዊ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1641,Tilahun Bekele,አቶ ጥላሁን በቀለ ,ም/ዋና ዳይሬክተር ,መንግስት ሠራተኞች ማህበራዊ ዋስትና ኤጀንሲ ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
1642,Professor Fekadu Beyene,ፕሮፌሰር ፈቃዱ በየነ ,ኮሚሽነር ,አካባቢ፣ የደንና የአየር ንብረት ለውጥ ኮሚሽን ,FEDERAL GOVERNMENT APPOINTEE AS PER 2012 E.C DATA ,,
